station_name,station_no,station_id,ts_id,parametertype_name
Aberfoyle,144,14575,9668042,QR
Armstrong Mills,186,14512,12247042,HG
Armstrong Mills,186,14512,8911042,QR
Arthur Climate Station,6,14447,12460042,PN
Arthur Climate Station,6,14447,12250042,TA
Ayr,156,14856,12244042,HG
Ayr,156,14856,8821042,QR
Baden Climate Station,9,14718,11232042,PN
Baden Climate Station,9,14718,12253042,TA
Beaverdale,168,14534,12248042,HG
Beaverdale,168,14534,8863042,QR
Below Elmira,28,15162,12227042,HG
Below Elmira,28,15162,8599042,QR
Below Shand,87,14440,12241042,HG
Below Shand,87,14440,8743042,QR
Below Shand WQ Station,88,15355,12156042,WO
Below Shand WQ Station,88,15355,11571042,WP
Blair WQ Station,58,15177,12141042,WO
Blair WQ Station,58,15177,11577042,WP
Brant Climate Station,13,14610,11238042,PN
Brant Climate Station,13,14610,12255042,TA
Brant WQ Station,59,15200,12236042,HG
Brant WQ Station,59,15200,11594042,QR
Brant WQ Station,59,15200,12138042,WO
Brant WQ Station,59,15200,11579042,WP
Brantford,60,14547,12235042,HG
Brantford,60,14547,8659042,QR
Bridgeport,61,14811,12237042,HG
Bridgeport,61,14811,8665042,QR
Bridgeport WQ Station,68,15218,12240042,HG
Bridgeport WQ Station,68,15218,11272042,PN
Bridgeport WQ Station,68,15218,8701042,QR
Bridgeport WQ Station,68,15218,12147042,WO
Bridgeport WQ Station,68,15218,11583042,WP
Burford Climate Station,14,14624,11255042,PN
Burford Climate Station,14,14624,12256042,TA
Burford MOE Climate Station,206,35980,12464042,PN
Burford MOE Climate Station,206,35980,14178042,UD
Burford MOE Climate Station,206,35980,14180042,US
Byng Island Climate Station,15,14803,11257042,PN
Byng Island Climate Station,15,14803,12258042,TA
Canning,160,14861,12243042,HG
Canning,160,14861,8845042,QR
Clair Creek,33,15012,12229042,HG
Clair Creek,33,15012,8617042,QR
Conestogo Climate Station,37,14929,11265042,PN
Conestogo Climate Station,37,14929,12262042,TA
Conestogo Climate Station,37,14929,14170042,UD
Conestogo Climate Station,37,14929,14172042,US
Dickie Settlement Road,207,41576,12639042,QR
Doon,63,14816,12238042,HG
Doon,63,14816,8677042,QR
Drayton,49,14913,12231042,HG
Drayton,49,14913,8629042,QR
Dundalk,89,14519,12242042,HG
Dundalk,89,14519,11300042,PN
Dundalk,89,14519,8749042,QR
Dundalk Climate Station,90,15074,12278042,TA
Dunnville upstream Weir 3,64,14786,12239042,HG
Dunnville upstream Weir 3,64,14786,8683042,QR
Elmira,16,15157,12226042,HG
Elmira,16,15157,8593042,QR
Elora Climate Station,54,14459,11267042,PN
Elora Climate Station,54,14459,12655042,QR
Eramosa,55,14838,12234042,HG
Eramosa,55,14838,8647042,QR
Erbsville,131,15007,10119042,HG
Erbsville,131,15007,8785042,QR
Fairchild near Brantford,201,17772,10141042,HG
Fairchild near Brantford,201,17772,12526042,PN
Fairchild near Brantford,201,17772,11383042,QR
Floradale GRCA,202,17625,10140042,HG
Floradale GRCA,202,17625,9808042,QR
Galt,62,14821,10104042,HG
Galt,62,14821,8671042,QR
Glen Allan,50,14895,10114042,HG
Glen Allan,50,14895,8635042,QR
Glen Morris WQ Station,65,15241,11638042,PN
Glen Morris WQ Station,65,15241,12144042,WO
Glen Morris WQ Station,65,15241,14140042,WP
Guelph Lake Climate Station,178,14994,11220042,PN
Guelph Lake Climate Station,178,14994,12293042,TA
Hanlon,169,14482,10065042,HG
Hanlon,169,14482,8869042,QR
Hanlon WQ Station,170,15262,10134042,HG
Hanlon WQ Station,170,15262,8875042,QR
Hanlon WQ Station,170,15262,12159042,WO
Hanlon WQ Station,170,15262,11589042,WP
Head Office Climate Station,145,14884,14162042,PA
Head Office Climate Station,145,14884,11284042,PN
Hidden Valley,66,14541,10073042,HG
Hidden Valley,66,14541,8695042,QR
Horner Creek,193,14554,10017042,QR
Keldon,93,15051,10123042,HG
Keldon,93,15051,8767042,QR
Laurel Creek Climate Station,132,15021,11282042,PN
Laurel Creek Climate Station,132,15021,12280042,TA
Leggatt,91,15056,10124042,HG
Leggatt,91,15056,8755042,QR
Luther Marsh Climate Station,11,15071,11253042,PN
Luther Marsh Climate Station,11,15071,12254042,TA
Marsville,92,14428,10060042,HG
Marsville,92,14428,8761042,QR
McKenzie Creek,143,14569,10077042,HG
McKenzie Creek,143,14569,9992042,QR
Mill Creek,151,14867,10112042,HG
Mill Creek,151,14867,8797042,QR
Millbank Climate Station,152,14698,11318042,PN
Millbank Climate Station,152,14698,12284042,TA
Moorefield,153,14918,10116042,HG
Moorefield,153,14918,8803042,QR
Mount Vernon,192,14561,12438042,HG
Mount Vernon,192,14561,8923042,QR
New Dundee Dam,2,14587,12249042,TA
New Dundee Road,208,41578,12636042,QR
New Hamburg,157,14487,10066042,HG
New Hamburg,157,14487,8827042,QR
Nithburg,155,14845,10108042,HG
Nithburg,155,14845,13946042,PN
Nithburg,155,14845,8815042,QR
Paris Climate Station,67,14724,11327042,PN
Paris Climate Station,67,14724,12269042,TA
Philipsburg,159,14850,10109042,HG
Philipsburg,159,14850,8839042,QR
Port Maitland,162,14678,14174042,UD
Port Maitland,162,14678,14176042,US
Road 32 WQ Station,183,15285,10135042,HG
Road 32 WQ Station,183,15285,11290042,PN
Road 32 WQ Station,183,15285,8893042,QR
Road 32 WQ Station,183,15285,12294042,TA
Road 32 WQ Station,183,15285,12162042,WO
Road 32 WQ Station,183,15285,11591042,WP
Salem,129,14833,10106042,HG
Salem,129,14833,8773042,QR
Schneider Creek,167,15026,10121042,HG
Schneider Creek,167,15026,8857042,QR
Shades Mills Dam Climate Station,149,15113,12285042,TA
Shand Dam Climate Station,72,14419,14161042,PA
Shand Dam Climate Station,72,14419,11274042,PN
Shand Dam Climate Station,72,14419,12271042,TA
Shand Dam Climate Station,72,14419,14166042,UD
Shand Dam Climate Station,72,14419,14168042,US
St. Jacobs,51,14475,11157042,HG
St. Jacobs,51,14475,8641042,QR
Sulphur Creek d/s fish ladder,188,14795,10101042,HG
Upper Belwood,81,14434,10061042,HG
Upper Belwood,81,14434,8707042,QR
Upper Drayton,35,14890,10113042,HG
Upper Drayton,35,14890,8623042,QR
Victoria Road,184,14983,10118042,HG
Victoria Road,184,14983,8899042,QR
Victoria WQ Station,82,15317,10136042,HG
Victoria WQ Station,82,15317,8713042,QR
Victoria WQ Station,82,15317,12150042,WO
Victoria WQ Station,82,15317,11585042,WP
Waldemar,83,15061,10125042,HG
Waldemar,83,15061,8719042,QR
Weber Street,139,14493,10059042,HG
Weber Street,139,14493,8791042,QR
Wellesley Dam,56,15132,11268042,PN
Wellesley Dam,56,15132,12264042,TA
West Montrose,84,14504,10068042,HG
West Montrose,84,14504,8725042,QR
Willow Brook,194,14453,8917042,QR
Woolwich Dam Climate Station,19,15171,11259042,PN
Woolwich Dam Climate Station,19,15171,12259042,TA
York,85,14827,10105042,HG
York,85,14827,12122042,PN
York,85,14827,8731042,QR
York WQ Station,86,15336,10137042,HG
York WQ Station,86,15336,8737042,QR
York WQ Station,86,15336,12153042,WO
York WQ Station,86,15336,11587042,WP
